index		a[]	+	b[]	=	c[]
24689		231	+	436	=	667
24690		303	+	660	=	963
24691		494	+	4	=	498
24692		478	+	719	=	1197
24693		68	+	218	=	286
24694		109	+	239	=	348
24695		307	+	414	=	721
24696		811	+	761	=	1572
24697		229	+	575	=	804
24698		170	+	907	=	1077
24699		97	+	878	=	975
24700		208	+	806	=	1014
24701		578	+	251	=	829
24702		263	+	988	=	1251
24703		907	+	527	=	1434
24704		945	+	468	=	1413
24705		881	+	610	=	1491
24706		256	+	867	=	1123
24707		535	+	93	=	628
24708		828	+	173	=	1001
24709		936	+	690	=	1626
24710		838	+	253	=	1091
24711		64	+	635	=	699
24712		166	+	473	=	639
24713		963	+	609	=	1572
24714		352	+	74	=	426
24715		635	+	510	=	1145
24716		228	+	290	=	518
24717		4	+	268	=	272
24718		638	+	615	=	1253
24719		242	+	607	=	849
24720		715	+	887	=	1602
24721		493	+	169	=	662
24722		525	+	692	=	1217
24723		324	+	589	=	913
24724		176	+	378	=	554
24725		88	+	558	=	646
24726		174	+	214	=	388
24727		746	+	312	=	1058
24728		832	+	890	=	1722
24729		664	+	503	=	1167
24730		295	+	694	=	989
24731		660	+	727	=	1387
24732		722	+	657	=	1379
24733		101	+	612	=	713
24734		72	+	625	=	697
24735		138	+	563	=	701
24736		16	+	983	=	999
24737		172	+	617	=	789
24738		647	+	950	=	1597
24739		227	+	810	=	1037
24740		522	+	989	=	1511
24741		820	+	588	=	1408
24742		165	+	635	=	800
24743		242	+	670	=	912
24744		955	+	3	=	958
24745		11	+	251	=	262
24746		750	+	328	=	1078
24747		236	+	923	=	1159
24748		402	+	963	=	1365
24749		823	+	83	=	906
24750		517	+	427	=	944
24751		331	+	844	=	1175
24752		786	+	299	=	1085
24753		869	+	362	=	1231
24754		894	+	18	=	912
24755		78	+	294	=	372
24756		754	+	535	=	1289
24757		509	+	918	=	1427
24758		362	+	52	=	414
24759		367	+	451	=	818
24760		29	+	981	=	1010
24761		692	+	140	=	832
24762		743	+	168	=	911
24763		660	+	241	=	901
24764		99	+	975	=	1074
24765		201	+	618	=	819
24766		125	+	684	=	809
24767		486	+	952	=	1438
24768		615	+	860	=	1475
24769		312	+	876	=	1188
24770		274	+	832	=	1106
24771		333	+	488	=	821
24772		647	+	416	=	1063
24773		539	+	283	=	822
24774		54	+	792	=	846
24775		401	+	617	=	1018
24776		975	+	399	=	1374
24777		476	+	57	=	533
24778		32	+	821	=	853
24779		387	+	272	=	659
24780		462	+	262	=	724
24781		507	+	215	=	722
24782		319	+	621	=	940
24783		194	+	769	=	963
24784		912	+	258	=	1170
24785		542	+	232	=	774
24786		298	+	46	=	344
24787		678	+	360	=	1038
24788		794	+	975	=	1769
24789		372	+	483	=	855
24790		33	+	671	=	704
24791		481	+	270	=	751
24792		993	+	938	=	1931
24793		441	+	260	=	701
24794		882	+	760	=	1642
24795		265	+	290	=	555
24796		331	+	407	=	738
24797		630	+	475	=	1105
24798		725	+	181	=	906
24799		207	+	693	=	900
24800		508	+	28	=	536
24801		910	+	564	=	1474
24802		215	+	343	=	558
24803		195	+	789	=	984
24804		443	+	428	=	871
24805		18	+	614	=	632
24806		827	+	67	=	894
24807		742	+	804	=	1546
24808		707	+	454	=	1161
24809		214	+	300	=	514
24810		756	+	944	=	1700
24811		374	+	550	=	924
24812		130	+	795	=	925
24813		233	+	831	=	1064
24814		773	+	637	=	1410
24815		742	+	806	=	1548
24816		53	+	883	=	936
24817		313	+	377	=	690
24818		9	+	961	=	970
24819		427	+	641	=	1068
24820		194	+	400	=	594
24821		332	+	444	=	776
24822		931	+	841	=	1772
24823		480	+	521	=	1001
24824		860	+	978	=	1838
24825		192	+	329	=	521
24826		160	+	822	=	982
24827		723	+	524	=	1247
24828		867	+	753	=	1620
24829		292	+	545	=	837
24830		96	+	749	=	845
24831		174	+	403	=	577
24832		849	+	870	=	1719
24833		957	+	704	=	1661
24834		168	+	397	=	565
24835		311	+	995	=	1306
24836		535	+	923	=	1458
24837		411	+	269	=	680
24838		883	+	420	=	1303
24839		152	+	711	=	863
24840		782	+	878	=	1660
24841		161	+	331	=	492
24842		564	+	938	=	1502
24843		943	+	900	=	1843
24844		974	+	18	=	992
24845		328	+	715	=	1043
24846		830	+	300	=	1130
24847		575	+	763	=	1338
24848		18	+	214	=	232
24849		364	+	712	=	1076
24850		148	+	402	=	550
24851		478	+	379	=	857
24852		305	+	900	=	1205
24853		197	+	985	=	1182
24854		185	+	482	=	667
24855		141	+	109	=	250
24856		919	+	467	=	1386
24857		608	+	890	=	1498
24858		945	+	555	=	1500
24859		667	+	814	=	1481
24860		466	+	430	=	896
24861		940	+	36	=	976
24862		78	+	866	=	944
24863		410	+	80	=	490
24864		870	+	546	=	1416
24865		597	+	168	=	765
24866		677	+	521	=	1198
24867		24	+	537	=	561
24868		697	+	412	=	1109
24869		413	+	320	=	733
24870		310	+	963	=	1273
24871		63	+	435	=	498
24872		144	+	697	=	841
24873		405	+	886	=	1291
24874		15	+	729	=	744
24875		918	+	850	=	1768
24876		480	+	772	=	1252
24877		504	+	267	=	771
24878		218	+	280	=	498
24879		838	+	65	=	903
24880		534	+	907	=	1441
24881		265	+	602	=	867
24882		218	+	89	=	307
24883		669	+	429	=	1098
24884		791	+	642	=	1433
24885		624	+	66	=	690
24886		2	+	360	=	362
24887		391	+	321	=	712
24888		376	+	159	=	535
24889		433	+	336	=	769
24890		454	+	773	=	1227
24891		880	+	576	=	1456
24892		272	+	468	=	740
24893		709	+	306	=	1015
24894		592	+	166	=	758
24895		251	+	110	=	361
24896		489	+	441	=	930
24897		287	+	981	=	1268
24898		204	+	163	=	367
24899		830	+	696	=	1526
24900		19	+	255	=	274
24901		408	+	919	=	1327
24902		741	+	656	=	1397
24903		827	+	919	=	1746
24904		425	+	854	=	1279
24905		419	+	318	=	737
24906		750	+	559	=	1309
24907		737	+	9	=	746
24908		218	+	816	=	1034
24909		554	+	808	=	1362
24910		585	+	404	=	989
24911		129	+	287	=	416
24912		641	+	467	=	1108
24913		431	+	497	=	928
24914		339	+	127	=	466
24915		386	+	496	=	882
24916		701	+	483	=	1184
24917		652	+	104	=	756
24918		510	+	397	=	907
24919		238	+	293	=	531
24920		985	+	421	=	1406
24921		100	+	745	=	845
24922		54	+	446	=	500
24923		762	+	147	=	909
24924		813	+	285	=	1098
24925		583	+	565	=	1148
24926		13	+	896	=	909
24927		721	+	956	=	1677
24928		708	+	714	=	1422
24929		938	+	781	=	1719
24930		63	+	620	=	683
24931		841	+	902	=	1743
24932		508	+	733	=	1241
24933		92	+	675	=	767
24934		262	+	844	=	1106
24935		413	+	259	=	672
24936		105	+	141	=	246
24937		290	+	130	=	420
24938		559	+	587	=	1146
24939		226	+	903	=	1129
24940		675	+	990	=	1665
24941		420	+	201	=	621
24942		731	+	341	=	1072
24943		130	+	621	=	751
24944		299	+	549	=	848
24945		663	+	227	=	890
24946		784	+	770	=	1554
24947		932	+	203	=	1135
24948		2	+	589	=	591
24949		705	+	826	=	1531
24950		221	+	592	=	813
24951		842	+	313	=	1155
24952		953	+	238	=	1191
24953		351	+	279	=	630
24954		425	+	390	=	815
24955		561	+	710	=	1271
24956		770	+	681	=	1451
24957		234	+	172	=	406
24958		29	+	689	=	718
24959		693	+	3	=	696
24960		910	+	981	=	1891
24961		6	+	362	=	368
24962		181	+	34	=	215
24963		554	+	437	=	991
24964		557	+	973	=	1530
24965		82	+	275	=	357
24966		43	+	486	=	529
24967		172	+	935	=	1107
24968		49	+	271	=	320
24969		723	+	906	=	1629
24970		852	+	54	=	906
24971		360	+	678	=	1038
24972		187	+	750	=	937
24973		968	+	766	=	1734
24974		769	+	917	=	1686
24975		904	+	340	=	1244
24976		853	+	425	=	1278
24977		911	+	242	=	1153
24978		671	+	356	=	1027
24979		763	+	790	=	1553
24980		974	+	282	=	1256
24981		823	+	112	=	935
24982		960	+	633	=	1593
24983		747	+	285	=	1032
24984		801	+	976	=	1777
24985		620	+	249	=	869
24986		472	+	35	=	507
24987		678	+	369	=	1047
24988		902	+	534	=	1436
24989		647	+	335	=	982
24990		480	+	792	=	1272
24991		189	+	17	=	206
24992		863	+	706	=	1569
24993		867	+	596	=	1463
24994		407	+	471	=	878
24995		312	+	964	=	1276
24996		636	+	487	=	1123
24997		841	+	256	=	1097
24998		636	+	695	=	1331
24999		840	+	508	=	1348
25000		968	+	499	=	1467
25001		804	+	918	=	1722
25002		420	+	350	=	770
25003		963	+	325	=	1288
25004		474	+	473	=	947
25005		606	+	135	=	741
25006		498	+	570	=	1068
25007		132	+	403	=	535
25008		494	+	751	=	1245
25009		209	+	142	=	351
25010		274	+	140	=	414
25011		648	+	345	=	993
25012		817	+	497	=	1314
25013		895	+	226	=	1121
25014		6	+	288	=	294
25015		114	+	962	=	1076
25016		432	+	621	=	1053
25017		651	+	584	=	1235
25018		874	+	503	=	1377
25019		128	+	540	=	668
25020		121	+	414	=	535
25021		957	+	182	=	1139
25022		823	+	69	=	892
25023		548	+	848	=	1396
25024		952	+	201	=	1153
25025		50	+	505	=	555
25026		667	+	611	=	1278
25027		611	+	532	=	1143
25028		371	+	635	=	1006
25029		753	+	840	=	1593
25030		207	+	661	=	868
25031		233	+	225	=	458
25032		727	+	537	=	1264
25033		775	+	519	=	1294
25034		440	+	21	=	461
25035		244	+	221	=	465
25036		873	+	614	=	1487
25037		660	+	861	=	1521
25038		31	+	359	=	390
25039		645	+	617	=	1262
25040		798	+	800	=	1598
25041		276	+	605	=	881
25042		713	+	459	=	1172
25043		506	+	340	=	846
25044		579	+	91	=	670
25045		495	+	281	=	776
25046		183	+	478	=	661
25047		718	+	783	=	1501
25048		438	+	309	=	747
25049		106	+	826	=	932
25050		999	+	225	=	1224
25051		311	+	560	=	871
25052		187	+	736	=	923
25053		684	+	154	=	838
25054		897	+	536	=	1433
25055		791	+	727	=	1518
25056		943	+	699	=	1642
25057		625	+	731	=	1356
25058		275	+	980	=	1255
25059		564	+	803	=	1367
25060		769	+	697	=	1466
25061		282	+	565	=	847
25062		78	+	730	=	808
25063		88	+	646	=	734
25064		804	+	177	=	981
25065		187	+	443	=	630
25066		934	+	690	=	1624
25067		257	+	428	=	685
25068		103	+	549	=	652
25069		844	+	342	=	1186
25070		934	+	721	=	1655
25071		354	+	409	=	763
25072		957	+	459	=	1416
25073		377	+	233	=	610
25074		722	+	799	=	1521
25075		409	+	400	=	809
25076		461	+	231	=	692
25077		282	+	540	=	822
25078		771	+	202	=	973
25079		719	+	501	=	1220
25080		955	+	22	=	977
25081		35	+	137	=	172
25082		831	+	17	=	848
25083		475	+	147	=	622
25084		781	+	764	=	1545
25085		964	+	610	=	1574
25086		158	+	57	=	215
25087		559	+	806	=	1365
25088		990	+	279	=	1269
25089		354	+	65	=	419
25090		926	+	260	=	1186
25091		130	+	595	=	725
25092		223	+	802	=	1025
25093		277	+	886	=	1163
25094		416	+	397	=	813
25095		988	+	251	=	1239
25096		65	+	364	=	429
25097		512	+	44	=	556
25098		312	+	365	=	677
25099		749	+	20	=	769
25100		500	+	734	=	1234
25101		717	+	132	=	849
25102		321	+	713	=	1034
25103		94	+	584	=	678
25104		316	+	768	=	1084
25105		462	+	473	=	935
25106		959	+	34	=	993
25107		509	+	764	=	1273
25108		510	+	236	=	746
25109		293	+	883	=	1176
25110		363	+	148	=	511
25111		662	+	18	=	680
25112		271	+	362	=	633
25113		797	+	597	=	1394
25114		202	+	615	=	817
25115		789	+	335	=	1124
25116		662	+	682	=	1344
25117		550	+	758	=	1308
25118		679	+	881	=	1560
25119		573	+	318	=	891
25120		325	+	405	=	730
25121		613	+	611	=	1224
25122		932	+	514	=	1446
25123		956	+	35	=	991
25124		435	+	693	=	1128
25125		201	+	643	=	844
25126		5	+	6	=	11
25127		669	+	137	=	806
25128		757	+	120	=	877
25129		839	+	826	=	1665
25130		597	+	439	=	1036
25131		5	+	61	=	66
25132		17	+	778	=	795
25133		223	+	631	=	854
25134		455	+	776	=	1231
25135		542	+	336	=	878
25136		298	+	847	=	1145
25137		333	+	926	=	1259
25138		927	+	883	=	1810
25139		111	+	752	=	863
25140		927	+	45	=	972
25141		185	+	574	=	759
25142		702	+	316	=	1018
25143		169	+	624	=	793
25144		827	+	848	=	1675
25145		440	+	596	=	1036
25146		97	+	300	=	397
25147		500	+	612	=	1112
25148		742	+	523	=	1265
25149		577	+	727	=	1304
25150		914	+	871	=	1785
25151		240	+	878	=	1118
25152		866	+	390	=	1256
25153		392	+	929	=	1321
25154		758	+	118	=	876
25155		773	+	940	=	1713
25156		799	+	34	=	833
25157		438	+	221	=	659
25158		317	+	982	=	1299
25159		715	+	247	=	962
25160		440	+	159	=	599
25161		639	+	139	=	778
25162		734	+	687	=	1421
25163		770	+	389	=	1159
25164		524	+	903	=	1427
25165		459	+	853	=	1312
25166		520	+	965	=	1485
25167		532	+	704	=	1236
25168		247	+	737	=	984
25169		173	+	270	=	443
25170		746	+	219	=	965
25171		902	+	373	=	1275
25172		758	+	511	=	1269
25173		999	+	726	=	1725
25174		916	+	395	=	1311
25175		554	+	222	=	776
25176		910	+	80	=	990
25177		92	+	216	=	308
25178		347	+	575	=	922
25179		8	+	776	=	784
25180		781	+	702	=	1483
25181		797	+	955	=	1752
25182		473	+	811	=	1284
25183		281	+	486	=	767
25184		847	+	233	=	1080
25185		301	+	892	=	1193
25186		947	+	673	=	1620
25187		922	+	740	=	1662
25188		323	+	34	=	357
25189		452	+	994	=	1446
25190		601	+	204	=	805
25191		863	+	445	=	1308
25192		899	+	273	=	1172
25193		0	+	721	=	721
25194		977	+	733	=	1710
25195		333	+	70	=	403
25196		975	+	951	=	1926
25197		831	+	736	=	1567
25198		245	+	489	=	734
25199		743	+	648	=	1391
25200		123	+	93	=	216
25201		783	+	107	=	890
25202		688	+	760	=	1448
25203		650	+	714	=	1364
25204		437	+	804	=	1241
25205		158	+	834	=	992
25206		213	+	384	=	597
25207		977	+	564	=	1541
25208		192	+	42	=	234
25209		570	+	616	=	1186
25210		705	+	720	=	1425
25211		561	+	781	=	1342
25212		228	+	19	=	247
25213		346	+	804	=	1150
25214		43	+	798	=	841
25215		102	+	526	=	628
25216		419	+	478	=	897
25217		99	+	523	=	622
25218		963	+	553	=	1516
25219		133	+	949	=	1082
25220		861	+	124	=	985
25221		92	+	116	=	208
25222		328	+	400	=	728
25223		696	+	675	=	1371
25224		693	+	636	=	1329
25225		858	+	459	=	1317
25226		272	+	353	=	625
25227		437	+	943	=	1380
25228		474	+	914	=	1388
25229		437	+	63	=	500
25230		813	+	634	=	1447
25231		471	+	208	=	679
25232		735	+	419	=	1154
25233		345	+	884	=	1229
25234		106	+	380	=	486
25235		811	+	15	=	826
25236		779	+	243	=	1022
25237		702	+	546	=	1248
25238		490	+	971	=	1461
25239		444	+	323	=	767
25240		193	+	871	=	1064
25241		233	+	108	=	341
25242		233	+	472	=	705
25243		328	+	962	=	1290
25244		305	+	355	=	660
25245		745	+	249	=	994
25246		465	+	847	=	1312
25247		425	+	463	=	888
25248		350	+	357	=	707
25249		394	+	462	=	856
25250		118	+	592	=	710
25251		53	+	998	=	1051
25252		191	+	280	=	471
25253		589	+	659	=	1248
25254		282	+	378	=	660
25255		414	+	34	=	448
25256		838	+	42	=	880
25257		838	+	553	=	1391
25258		875	+	940	=	1815
25259		370	+	536	=	906
25260		203	+	398	=	601
25261		220	+	235	=	455
25262		720	+	842	=	1562
25263		932	+	809	=	1741
25264		274	+	371	=	645
25265		429	+	434	=	863
25266		271	+	798	=	1069
25267		922	+	132	=	1054
25268		216	+	764	=	980
25269		56	+	358	=	414
25270		722	+	156	=	878
25271		653	+	17	=	670
25272		122	+	550	=	672
25273		129	+	852	=	981
25274		453	+	645	=	1098
25275		324	+	503	=	827
25276		463	+	277	=	740
25277		129	+	651	=	780
25278		961	+	54	=	1015
25279		657	+	448	=	1105
25280		793	+	718	=	1511
25281		947	+	734	=	1681
25282		341	+	934	=	1275
25283		642	+	168	=	810
25284		399	+	630	=	1029
25285		791	+	77	=	868
25286		632	+	867	=	1499
25287		137	+	233	=	370
25288		430	+	202	=	632
25289		875	+	892	=	1767
25290		960	+	501	=	1461
25291		877	+	225	=	1102
25292		36	+	861	=	897
25293		509	+	266	=	775
25294		614	+	936	=	1550
25295		423	+	26	=	449
25296		84	+	990	=	1074
25297		218	+	203	=	421
25298		303	+	887	=	1190
25299		134	+	305	=	439
25300		565	+	455	=	1020
25301		491	+	151	=	642
25302		269	+	860	=	1129
25303		843	+	552	=	1395
25304		498	+	447	=	945
25305		387	+	161	=	548
25306		660	+	441	=	1101
25307		181	+	741	=	922
25308		459	+	433	=	892
25309		250	+	448	=	698
25310		837	+	203	=	1040
25311		286	+	945	=	1231
25312		978	+	490	=	1468
25313		596	+	978	=	1574
25314		943	+	641	=	1584
25315		12	+	657	=	669
25316		496	+	223	=	719
25317		931	+	676	=	1607
25318		929	+	977	=	1906
25319		834	+	600	=	1434
25320		950	+	140	=	1090
25321		57	+	211	=	268
25322		321	+	196	=	517
25323		781	+	307	=	1088
25324		924	+	910	=	1834
25325		247	+	94	=	341
25326		528	+	357	=	885
25327		391	+	51	=	442
25328		125	+	395	=	520
25329		745	+	793	=	1538
25330		243	+	133	=	376
25331		287	+	855	=	1142
25332		256	+	21	=	277
25333		431	+	420	=	851
25334		643	+	618	=	1261
25335		942	+	448	=	1390
25336		761	+	546	=	1307
25337		821	+	194	=	1015
25338		374	+	443	=	817
25339		916	+	627	=	1543
25340		439	+	623	=	1062
25341		476	+	2	=	478
25342		317	+	158	=	475
25343		417	+	106	=	523
25344		59	+	288	=	347
25345		103	+	218	=	321
25346		156	+	859	=	1015
25347		660	+	979	=	1639
25348		103	+	649	=	752
25349		623	+	911	=	1534
25350		877	+	670	=	1547
25351		856	+	383	=	1239
25352		261	+	801	=	1062
25353		624	+	862	=	1486
25354		596	+	497	=	1093
25355		754	+	621	=	1375
25356		203	+	538	=	741
25357		226	+	502	=	728
25358		340	+	391	=	731
25359		900	+	157	=	1057
25360		206	+	626	=	832
25361		192	+	651	=	843
25362		673	+	874	=	1547
25363		765	+	789	=	1554
25364		107	+	13	=	120
25365		916	+	45	=	961
25366		669	+	582	=	1251
25367		727	+	375	=	1102
25368		432	+	216	=	648
25369		25	+	263	=	288
25370		428	+	620	=	1048
25371		927	+	961	=	1888
25372		465	+	263	=	728
25373		96	+	289	=	385
25374		471	+	400	=	871
25375		841	+	164	=	1005
25376		804	+	808	=	1612
25377		76	+	94	=	170
25378		756	+	187	=	943
25379		929	+	797	=	1726
25380		230	+	422	=	652
25381		333	+	318	=	651
25382		260	+	290	=	550
25383		403	+	143	=	546
25384		843	+	976	=	1819
25385		129	+	581	=	710
25386		348	+	332	=	680
25387		924	+	463	=	1387
25388		362	+	815	=	1177
25389		694	+	890	=	1584
25390		84	+	16	=	100
25391		631	+	71	=	702
25392		518	+	339	=	857
25393		897	+	378	=	1275
25394		635	+	365	=	1000
25395		641	+	963	=	1604
25396		550	+	367	=	917
25397		371	+	290	=	661
25398		626	+	521	=	1147
25399		124	+	87	=	211
25400		181	+	440	=	621
25401		582	+	296	=	878
25402		36	+	251	=	287
25403		464	+	463	=	927
25404		147	+	618	=	765
25405		476	+	667	=	1143
25406		293	+	328	=	621
25407		662	+	501	=	1163
25408		595	+	131	=	726
25409		41	+	630	=	671
25410		976	+	1	=	977
25411		83	+	928	=	1011
25412		500	+	438	=	938
25413		908	+	354	=	1262
25414		14	+	27	=	41
25415		827	+	359	=	1186
25416		792	+	609	=	1401
25417		810	+	257	=	1067
25418		214	+	710	=	924
25419		196	+	209	=	405
25420		967	+	735	=	1702
25421		443	+	811	=	1254
25422		408	+	751	=	1159
25423		414	+	64	=	478
25424		405	+	271	=	676
25425		507	+	884	=	1391
25426		481	+	943	=	1424
25427		833	+	850	=	1683
25428		631	+	171	=	802
25429		66	+	268	=	334
25430		874	+	353	=	1227
25431		143	+	255	=	398
25432		66	+	122	=	188
25433		853	+	838	=	1691
25434		800	+	840	=	1640
25435		694	+	934	=	1628
25436		549	+	639	=	1188
25437		371	+	346	=	717
25438		318	+	190	=	508
25439		368	+	584	=	952
25440		202	+	720	=	922
25441		72	+	467	=	539
25442		590	+	598	=	1188
25443		699	+	34	=	733
25444		385	+	207	=	592
25445		581	+	857	=	1438
25446		924	+	763	=	1687
25447		865	+	359	=	1224
25448		589	+	260	=	849
25449		990	+	88	=	1078
25450		756	+	22	=	778
25451		928	+	852	=	1780
25452		508	+	905	=	1413
25453		418	+	896	=	1314
25454		342	+	805	=	1147
25455		163	+	331	=	494
25456		59	+	613	=	672
25457		591	+	539	=	1130
25458		249	+	862	=	1111
25459		648	+	537	=	1185
25460		552	+	362	=	914
25461		195	+	10	=	205
25462		621	+	616	=	1237
25463		712	+	399	=	1111
25464		759	+	711	=	1470
25465		117	+	584	=	701
25466		472	+	435	=	907
25467		866	+	861	=	1727
25468		45	+	822	=	867
25469		450	+	917	=	1367
25470		538	+	83	=	621
25471		368	+	562	=	930
25472		240	+	423	=	663
25473		696	+	628	=	1324
25474		832	+	425	=	1257
25475		40	+	397	=	437
25476		277	+	91	=	368
25477		966	+	981	=	1947
25478		925	+	457	=	1382
25479		332	+	856	=	1188
25480		864	+	570	=	1434
25481		138	+	732	=	870
25482		613	+	509	=	1122
25483		330	+	303	=	633
25484		552	+	782	=	1334
25485		946	+	697	=	1643
25486		0	+	232	=	232
25487		709	+	445	=	1154
25488		825	+	101	=	926
25489		331	+	790	=	1121
25490		293	+	228	=	521
25491		235	+	800	=	1035
25492		360	+	259	=	619
25493		262	+	860	=	1122
25494		764	+	693	=	1457
25495		837	+	424	=	1261
25496		546	+	341	=	887
25497		37	+	542	=	579
25498		114	+	236	=	350
25499		378	+	276	=	654
25500		701	+	120	=	821
25501		931	+	356	=	1287
25502		25	+	789	=	814
25503		148	+	900	=	1048
25504		245	+	704	=	949
25505		753	+	985	=	1738
25506		246	+	10	=	256
25507		450	+	680	=	1130
25508		417	+	369	=	786
25509		529	+	566	=	1095
25510		569	+	685	=	1254
25511		732	+	712	=	1444
25512		331	+	402	=	733
25513		575	+	389	=	964
25514		345	+	97	=	442
25515		226	+	322	=	548
25516		820	+	740	=	1560
25517		971	+	614	=	1585
25518		181	+	242	=	423
25519		501	+	64	=	565
25520		126	+	159	=	285
25521		529	+	469	=	998
25522		116	+	528	=	644
25523		899	+	191	=	1090
25524		487	+	566	=	1053
25525		225	+	82	=	307
25526		278	+	121	=	399
25527		448	+	849	=	1297
25528		333	+	766	=	1099
25529		128	+	176	=	304
25530		712	+	596	=	1308
25531		248	+	667	=	915
25532		892	+	795	=	1687
25533		948	+	255	=	1203
25534		4	+	406	=	410
25535		814	+	751	=	1565
25536		370	+	875	=	1245
25537		4	+	331	=	335
25538		526	+	33	=	559
25539		425	+	931	=	1356
25540		196	+	169	=	365
25541		118	+	530	=	648
25542		793	+	944	=	1737
25543		881	+	873	=	1754
25544		86	+	628	=	714
25545		542	+	177	=	719
25546		592	+	28	=	620
25547		54	+	286	=	340
25548		183	+	237	=	420
25549		822	+	432	=	1254
25550		533	+	122	=	655
25551		833	+	763	=	1596
25552		538	+	60	=	598
25553		368	+	25	=	393
25554		374	+	99	=	473
25555		329	+	718	=	1047
25556		518	+	603	=	1121
25557		590	+	325	=	915
25558		291	+	586	=	877
25559		320	+	810	=	1130
25560		943	+	818	=	1761
25561		283	+	263	=	546
25562		865	+	946	=	1811
25563		875	+	834	=	1709
25564		147	+	265	=	412
25565		791	+	359	=	1150
25566		778	+	950	=	1728
25567		158	+	346	=	504
25568		845	+	401	=	1246
25569		591	+	72	=	663
25570		754	+	790	=	1544
25571		77	+	583	=	660
25572		86	+	468	=	554
25573		731	+	715	=	1446
25574		148	+	41	=	189
25575		516	+	666	=	1182
25576		143	+	576	=	719
25577		358	+	602	=	960
25578		147	+	693	=	840
25579		408	+	185	=	593
25580		825	+	648	=	1473
25581		442	+	85	=	527
25582		553	+	313	=	866
25583		387	+	734	=	1121
25584		789	+	691	=	1480
25585		417	+	57	=	474
25586		35	+	195	=	230
25587		60	+	6	=	66
25588		116	+	539	=	655
25589		780	+	316	=	1096
25590		779	+	322	=	1101
25591		613	+	131	=	744
25592		280	+	783	=	1063
25593		552	+	498	=	1050
25594		557	+	870	=	1427
25595		508	+	962	=	1470
25596		376	+	329	=	705
25597		828	+	491	=	1319
25598		339	+	51	=	390
25599		282	+	70	=	352
25600		56	+	129	=	185
25601		204	+	930	=	1134
25602		857	+	194	=	1051
25603		367	+	915	=	1282
25604		479	+	697	=	1176
25605		218	+	808	=	1026
25606		801	+	472	=	1273
25607		988	+	340	=	1328
25608		832	+	191	=	1023
25609		496	+	783	=	1279
25610		185	+	101	=	286
25611		495	+	701	=	1196
25612		850	+	661	=	1511
25613		390	+	824	=	1214
25614		888	+	869	=	1757
25615		763	+	249	=	1012
25616		688	+	324	=	1012
25617		90	+	245	=	335
25618		524	+	922	=	1446
25619		781	+	990	=	1771
25620		97	+	229	=	326
25621		603	+	703	=	1306
25622		103	+	785	=	888
25623		872	+	412	=	1284
25624		400	+	495	=	895
25625		830	+	657	=	1487
25626		621	+	569	=	1190
25627		313	+	154	=	467
25628		109	+	636	=	745
25629		577	+	395	=	972
25630		991	+	191	=	1182
25631		676	+	385	=	1061
25632		307	+	523	=	830
25633		755	+	849	=	1604
25634		148	+	308	=	456
25635		942	+	591	=	1533
25636		848	+	832	=	1680
25637		42	+	113	=	155
25638		307	+	581	=	888
25639		497	+	453	=	950
25640		400	+	263	=	663
25641		274	+	920	=	1194
25642		730	+	178	=	908
25643		139	+	825	=	964
25644		210	+	653	=	863
25645		149	+	582	=	731
25646		338	+	0	=	338
25647		103	+	37	=	140
25648		426	+	615	=	1041
25649		957	+	189	=	1146
25650		808	+	767	=	1575
25651		258	+	294	=	552
25652		661	+	841	=	1502
25653		948	+	982	=	1930
25654		774	+	205	=	979
25655		719	+	478	=	1197
25656		440	+	705	=	1145
25657		861	+	437	=	1298
25658		808	+	625	=	1433
25659		540	+	363	=	903
25660		257	+	985	=	1242
25661		408	+	896	=	1304
25662		959	+	769	=	1728
25663		747	+	445	=	1192
25664		444	+	896	=	1340
25665		466	+	315	=	781
25666		89	+	276	=	365
25667		530	+	659	=	1189
25668		584	+	1	=	585
25669		51	+	319	=	370
25670		599	+	561	=	1160
25671		395	+	719	=	1114
25672		943	+	202	=	1145
25673		166	+	902	=	1068
25674		190	+	398	=	588
25675		781	+	934	=	1715
25676		10	+	847	=	857
25677		508	+	144	=	652
25678		783	+	761	=	1544
25679		9	+	369	=	378
25680		347	+	69	=	416
25681		433	+	106	=	539
25682		543	+	67	=	610
25683		949	+	159	=	1108
25684		89	+	463	=	552
25685		622	+	266	=	888
25686		384	+	272	=	656
25687		236	+	928	=	1164
25688		991	+	781	=	1772
25689		77	+	380	=	457
25690		182	+	240	=	422
25691		820	+	387	=	1207
25692		349	+	792	=	1141
25693		840	+	968	=	1808
25694		314	+	497	=	811
25695		983	+	481	=	1464
25696		5	+	479	=	484
25697		715	+	506	=	1221
25698		994	+	163	=	1157
25699		708	+	784	=	1492
25700		695	+	484	=	1179
25701		245	+	264	=	509
25702		463	+	522	=	985
25703		651	+	769	=	1420
25704		710	+	104	=	814
25705		27	+	232	=	259
25706		358	+	920	=	1278
25707		779	+	787	=	1566
25708		737	+	83	=	820
25709		413	+	143	=	556
25710		488	+	825	=	1313
25711		160	+	437	=	597
25712		643	+	109	=	752
25713		319	+	59	=	378
25714		466	+	844	=	1310
25715		389	+	439	=	828
25716		579	+	32	=	611
25717		49	+	586	=	635
25718		677	+	753	=	1430
25719		279	+	586	=	865
25720		421	+	475	=	896
25721		991	+	416	=	1407
25722		495	+	997	=	1492
25723		706	+	180	=	886
25724		527	+	857	=	1384
