index		a[]	+	b[]	=	c[]
2798		238	+	178	=	416
2799		464	+	457	=	921
2800		572	+	221	=	793
2801		922	+	756	=	1678
2802		867	+	260	=	1127
2803		298	+	343	=	641
2804		234	+	841	=	1075
2805		19	+	352	=	371
2806		62	+	411	=	473
2807		811	+	793	=	1604
2808		405	+	881	=	1286
2809		651	+	760	=	1411
2810		898	+	271	=	1169
2811		842	+	694	=	1536
2812		84	+	535	=	619
2813		500	+	955	=	1455
2814		155	+	323	=	478
2815		650	+	688	=	1338
2816		939	+	10	=	949
2817		17	+	932	=	949
2818		948	+	210	=	1158
2819		495	+	419	=	914
2820		648	+	189	=	837
2821		171	+	851	=	1022
2822		695	+	223	=	918
2823		637	+	649	=	1286
2824		800	+	407	=	1207
2825		134	+	884	=	1018
2826		177	+	812	=	989
2827		641	+	304	=	945
2828		496	+	162	=	658
2829		537	+	551	=	1088
2830		851	+	732	=	1583
2831		565	+	938	=	1503
2832		445	+	228	=	673
2833		194	+	526	=	720
2834		178	+	745	=	923
2835		928	+	205	=	1133
2836		149	+	257	=	406
2837		312	+	401	=	713
2838		199	+	727	=	926
2839		692	+	353	=	1045
2840		795	+	542	=	1337
2841		567	+	149	=	716
2842		376	+	255	=	631
2843		742	+	748	=	1490
2844		103	+	815	=	918
2845		47	+	73	=	120
2846		965	+	749	=	1714
2847		137	+	169	=	306
2848		331	+	970	=	1301
2849		53	+	768	=	821
2850		52	+	178	=	230
2851		156	+	981	=	1137
2852		695	+	586	=	1281
2853		929	+	731	=	1660
2854		278	+	859	=	1137
2855		752	+	89	=	841
2856		958	+	238	=	1196
2857		54	+	972	=	1026
2858		208	+	656	=	864
2859		171	+	147	=	318
2860		503	+	511	=	1014
2861		174	+	819	=	993
2862		107	+	205	=	312
2863		599	+	788	=	1387
2864		261	+	45	=	306
2865		435	+	492	=	927
2866		732	+	76	=	808
2867		667	+	403	=	1070
2868		367	+	899	=	1266
2869		54	+	167	=	221
2870		212	+	114	=	326
2871		129	+	793	=	922
2872		977	+	854	=	1831
2873		12	+	831	=	843
2874		889	+	326	=	1215
2875		647	+	299	=	946
2876		489	+	674	=	1163
2877		836	+	612	=	1448
2878		387	+	957	=	1344
2879		503	+	491	=	994
2880		482	+	829	=	1311
2881		27	+	361	=	388
2882		952	+	496	=	1448
2883		646	+	183	=	829
2884		597	+	554	=	1151
2885		32	+	102	=	134
2886		945	+	476	=	1421
2887		224	+	81	=	305
2888		195	+	623	=	818
2889		632	+	343	=	975
2890		602	+	369	=	971
2891		282	+	989	=	1271
2892		437	+	599	=	1036
2893		35	+	179	=	214
2894		654	+	652	=	1306
2895		399	+	350	=	749
2896		132	+	945	=	1077
2897		293	+	871	=	1164
2898		649	+	590	=	1239
2899		204	+	177	=	381
2900		705	+	319	=	1024
2901		750	+	528	=	1278
2902		228	+	722	=	950
2903		668	+	785	=	1453
2904		774	+	184	=	958
2905		651	+	884	=	1535
2906		37	+	915	=	952
2907		189	+	681	=	870
2908		74	+	759	=	833
2909		850	+	546	=	1396
2910		260	+	427	=	687
2911		233	+	421	=	654
2912		161	+	818	=	979
2913		546	+	350	=	896
2914		263	+	461	=	724
2915		846	+	458	=	1304
2916		594	+	371	=	965
2917		945	+	502	=	1447
2918		246	+	420	=	666
2919		254	+	953	=	1207
2920		760	+	586	=	1346
2921		419	+	735	=	1154
2922		616	+	113	=	729
2923		335	+	592	=	927
2924		18	+	265	=	283
2925		370	+	336	=	706
2926		525	+	746	=	1271
2927		644	+	512	=	1156
2928		482	+	815	=	1297
2929		105	+	726	=	831
2930		201	+	773	=	974
2931		306	+	80	=	386
2932		593	+	990	=	1583
2933		591	+	214	=	805
2934		223	+	857	=	1080
2935		700	+	849	=	1549
2936		322	+	285	=	607
2937		762	+	702	=	1464
2938		268	+	374	=	642
2939		152	+	848	=	1000
2940		235	+	638	=	873
2941		762	+	237	=	999
2942		272	+	792	=	1064
2943		200	+	343	=	543
2944		519	+	481	=	1000
2945		370	+	991	=	1361
2946		145	+	984	=	1129
2947		714	+	85	=	799
2948		79	+	399	=	478
2949		282	+	386	=	668
2950		119	+	650	=	769
2951		193	+	185	=	378
2952		516	+	608	=	1124
2953		888	+	499	=	1387
2954		425	+	896	=	1321
2955		769	+	331	=	1100
2956		814	+	502	=	1316
2957		970	+	537	=	1507
2958		598	+	77	=	675
2959		398	+	851	=	1249
2960		888	+	463	=	1351
2961		53	+	505	=	558
2962		741	+	267	=	1008
2963		662	+	655	=	1317
2964		81	+	695	=	776
2965		618	+	872	=	1490
2966		94	+	670	=	764
2967		538	+	121	=	659
2968		445	+	523	=	968
2969		243	+	365	=	608
2970		718	+	135	=	853
2971		937	+	599	=	1536
2972		499	+	192	=	691
2973		554	+	124	=	678
2974		31	+	66	=	97
2975		429	+	722	=	1151
2976		556	+	818	=	1374
2977		875	+	692	=	1567
2978		910	+	361	=	1271
2979		132	+	728	=	860
2980		522	+	149	=	671
2981		277	+	826	=	1103
2982		348	+	278	=	626
2983		777	+	338	=	1115
2984		175	+	944	=	1119
2985		125	+	139	=	264
2986		821	+	340	=	1161
2987		640	+	966	=	1606
2988		81	+	148	=	229
2989		547	+	951	=	1498
2990		907	+	551	=	1458
2991		110	+	557	=	667
2992		77	+	9	=	86
2993		403	+	576	=	979
2994		540	+	23	=	563
2995		574	+	454	=	1028
2996		369	+	906	=	1275
2997		485	+	999	=	1484
2998		48	+	930	=	978
2999		573	+	658	=	1231
3000		816	+	884	=	1700
3001		373	+	31	=	404
3002		604	+	783	=	1387
3003		791	+	422	=	1213
3004		10	+	987	=	997
3005		364	+	568	=	932
3006		994	+	579	=	1573
3007		23	+	709	=	732
3008		657	+	141	=	798
3009		285	+	477	=	762
3010		23	+	272	=	295
3011		828	+	435	=	1263
3012		549	+	517	=	1066
3013		9	+	743	=	752
3014		867	+	265	=	1132
3015		590	+	891	=	1481
3016		369	+	538	=	907
3017		604	+	776	=	1380
3018		212	+	991	=	1203
3019		693	+	409	=	1102
3020		620	+	197	=	817
3021		662	+	128	=	790
3022		100	+	759	=	859
3023		842	+	440	=	1282
3024		89	+	494	=	583
3025		642	+	620	=	1262
3026		486	+	146	=	632
3027		964	+	486	=	1450
3028		271	+	943	=	1214
3029		466	+	474	=	940
3030		445	+	788	=	1233
3031		349	+	827	=	1176
3032		954	+	504	=	1458
3033		281	+	246	=	527
3034		757	+	285	=	1042
3035		114	+	350	=	464
3036		832	+	673	=	1505
3037		943	+	312	=	1255
3038		232	+	883	=	1115
3039		239	+	768	=	1007
3040		589	+	683	=	1272
3041		209	+	987	=	1196
3042		795	+	245	=	1040
3043		912	+	639	=	1551
3044		935	+	248	=	1183
3045		479	+	207	=	686
3046		230	+	954	=	1184
3047		601	+	940	=	1541
3048		43	+	718	=	761
3049		412	+	377	=	789
3050		623	+	472	=	1095
3051		983	+	885	=	1868
3052		686	+	720	=	1406
3053		257	+	702	=	959
3054		439	+	606	=	1045
3055		276	+	924	=	1200
3056		652	+	37	=	689
3057		35	+	699	=	734
3058		316	+	890	=	1206
3059		367	+	606	=	973
3060		221	+	975	=	1196
3061		520	+	792	=	1312
3062		565	+	547	=	1112
3063		258	+	684	=	942
3064		531	+	829	=	1360
3065		782	+	705	=	1487
3066		162	+	689	=	851
3067		923	+	870	=	1793
3068		342	+	282	=	624
3069		196	+	180	=	376
3070		969	+	72	=	1041
3071		715	+	51	=	766
3072		736	+	755	=	1491
3073		174	+	477	=	651
3074		154	+	729	=	883
3075		882	+	851	=	1733
3076		769	+	237	=	1006
3077		301	+	676	=	977
3078		604	+	73	=	677
3079		161	+	197	=	358
3080		595	+	125	=	720
3081		485	+	62	=	547
3082		229	+	560	=	789
3083		718	+	73	=	791
3084		79	+	709	=	788
3085		662	+	224	=	886
3086		574	+	682	=	1256
3087		475	+	815	=	1290
3088		343	+	446	=	789
3089		532	+	568	=	1100
3090		684	+	361	=	1045
3091		472	+	286	=	758
3092		266	+	89	=	355
3093		151	+	604	=	755
3094		233	+	594	=	827
3095		76	+	598	=	674
3096		604	+	533	=	1137
3097		468	+	184	=	652
3098		417	+	964	=	1381
3099		616	+	14	=	630
3100		66	+	996	=	1062
3101		873	+	148	=	1021
3102		510	+	396	=	906
3103		941	+	791	=	1732
3104		866	+	589	=	1455
3105		20	+	355	=	375
3106		948	+	251	=	1199
3107		81	+	271	=	352
3108		825	+	228	=	1053
3109		173	+	454	=	627
3110		309	+	430	=	739
3111		238	+	991	=	1229
3112		739	+	853	=	1592
3113		448	+	567	=	1015
3114		54	+	877	=	931
3115		490	+	197	=	687
3116		56	+	773	=	829
3117		589	+	862	=	1451
3118		536	+	429	=	965
3119		888	+	539	=	1427
3120		585	+	841	=	1426
3121		167	+	520	=	687
3122		560	+	47	=	607
3123		581	+	382	=	963
3124		606	+	989	=	1595
3125		784	+	403	=	1187
3126		960	+	462	=	1422
3127		732	+	392	=	1124
3128		843	+	63	=	906
3129		923	+	611	=	1534
3130		740	+	692	=	1432
3131		443	+	270	=	713
3132		919	+	849	=	1768
3133		112	+	576	=	688
3134		845	+	486	=	1331
3135		556	+	603	=	1159
3136		364	+	498	=	862
3137		508	+	878	=	1386
3138		338	+	723	=	1061
3139		5	+	411	=	416
3140		193	+	117	=	310
3141		943	+	227	=	1170
3142		514	+	290	=	804
3143		416	+	801	=	1217
3144		339	+	544	=	883
3145		236	+	12	=	248
3146		274	+	433	=	707
3147		740	+	401	=	1141
3148		183	+	135	=	318
3149		828	+	633	=	1461
3150		437	+	134	=	571
3151		577	+	671	=	1248
3152		722	+	263	=	985
3153		659	+	540	=	1199
3154		368	+	282	=	650
3155		848	+	366	=	1214
3156		290	+	227	=	517
3157		458	+	71	=	529
3158		106	+	305	=	411
3159		1	+	434	=	435
3160		770	+	555	=	1325
3161		507	+	299	=	806
3162		730	+	75	=	805
3163		803	+	439	=	1242
3164		194	+	488	=	682
3165		664	+	673	=	1337
3166		48	+	358	=	406
3167		280	+	487	=	767
3168		764	+	713	=	1477
3169		13	+	452	=	465
3170		170	+	978	=	1148
3171		766	+	704	=	1470
3172		416	+	649	=	1065
3173		377	+	837	=	1214
3174		537	+	459	=	996
3175		432	+	955	=	1387
3176		105	+	526	=	631
3177		937	+	366	=	1303
3178		914	+	155	=	1069
3179		290	+	446	=	736
3180		182	+	635	=	817
3181		93	+	936	=	1029
3182		846	+	238	=	1084
3183		456	+	403	=	859
3184		714	+	599	=	1313
3185		41	+	925	=	966
3186		74	+	324	=	398
3187		344	+	863	=	1207
3188		749	+	276	=	1025
3189		597	+	334	=	931
3190		647	+	426	=	1073
3191		43	+	244	=	287
3192		592	+	761	=	1353
3193		269	+	175	=	444
3194		139	+	696	=	835
3195		481	+	471	=	952
3196		268	+	713	=	981
3197		666	+	30	=	696
3198		806	+	109	=	915
3199		290	+	59	=	349
3200		684	+	546	=	1230
3201		759	+	103	=	862
3202		606	+	391	=	997
3203		93	+	196	=	289
3204		583	+	950	=	1533
3205		557	+	435	=	992
3206		12	+	667	=	679
3207		869	+	165	=	1034
3208		903	+	973	=	1876
3209		791	+	516	=	1307
3210		149	+	515	=	664
3211		118	+	243	=	361
3212		388	+	497	=	885
3213		711	+	91	=	802
3214		874	+	563	=	1437
3215		125	+	7	=	132
3216		370	+	121	=	491
3217		727	+	658	=	1385
3218		336	+	275	=	611
3219		221	+	576	=	797
3220		799	+	919	=	1718
3221		241	+	611	=	852
3222		712	+	209	=	921
3223		635	+	263	=	898
3224		830	+	514	=	1344
3225		336	+	783	=	1119
3226		32	+	988	=	1020
3227		339	+	705	=	1044
3228		670	+	940	=	1610
3229		868	+	391	=	1259
3230		728	+	985	=	1713
3231		537	+	320	=	857
3232		124	+	997	=	1121
3233		354	+	703	=	1057
3234		494	+	562	=	1056
3235		865	+	554	=	1419
3236		700	+	302	=	1002
3237		714	+	629	=	1343
3238		794	+	26	=	820
3239		463	+	528	=	991
3240		748	+	679	=	1427
3241		351	+	199	=	550
3242		3	+	442	=	445
3243		280	+	16	=	296
3244		290	+	98	=	388
3245		858	+	730	=	1588
3246		553	+	551	=	1104
3247		262	+	444	=	706
3248		649	+	485	=	1134
3249		55	+	572	=	627
3250		889	+	858	=	1747
3251		552	+	129	=	681
3252		640	+	860	=	1500
3253		46	+	627	=	673
3254		44	+	422	=	466
3255		936	+	473	=	1409
3256		154	+	333	=	487
3257		756	+	51	=	807
3258		391	+	534	=	925
3259		931	+	322	=	1253
3260		79	+	202	=	281
3261		176	+	580	=	756
3262		269	+	388	=	657
3263		429	+	885	=	1314
3264		2	+	610	=	612
3265		327	+	274	=	601
3266		760	+	99	=	859
3267		42	+	55	=	97
3268		393	+	65	=	458
3269		928	+	572	=	1500
3270		284	+	726	=	1010
3271		798	+	523	=	1321
3272		201	+	587	=	788
3273		88	+	997	=	1085
3274		652	+	175	=	827
3275		750	+	678	=	1428
3276		455	+	893	=	1348
3277		630	+	406	=	1036
3278		531	+	489	=	1020
3279		165	+	521	=	686
3280		127	+	964	=	1091
3281		440	+	113	=	553
3282		389	+	710	=	1099
3283		488	+	763	=	1251
3284		320	+	188	=	508
3285		821	+	264	=	1085
3286		3	+	754	=	757
3287		722	+	316	=	1038
3288		854	+	586	=	1440
3289		425	+	524	=	949
3290		818	+	302	=	1120
3291		120	+	659	=	779
3292		488	+	682	=	1170
3293		341	+	574	=	915
3294		500	+	566	=	1066
3295		222	+	754	=	976
3296		552	+	850	=	1402
3297		516	+	226	=	742
3298		486	+	602	=	1088
3299		737	+	901	=	1638
3300		901	+	749	=	1650
3301		967	+	102	=	1069
3302		265	+	881	=	1146
3303		843	+	710	=	1553
3304		508	+	489	=	997
3305		858	+	184	=	1042
3306		121	+	106	=	227
3307		586	+	987	=	1573
3308		371	+	490	=	861
3309		972	+	518	=	1490
3310		73	+	353	=	426
3311		281	+	662	=	943
3312		996	+	213	=	1209
3313		451	+	115	=	566
3314		804	+	785	=	1589
3315		333	+	564	=	897
3316		504	+	837	=	1341
3317		453	+	784	=	1237
3318		333	+	972	=	1305
3319		921	+	544	=	1465
3320		370	+	257	=	627
3321		88	+	129	=	217
3322		297	+	340	=	637
3323		923	+	901	=	1824
3324		343	+	876	=	1219
3325		731	+	500	=	1231
3326		648	+	613	=	1261
3327		253	+	311	=	564
3328		693	+	332	=	1025
3329		451	+	814	=	1265
3330		599	+	216	=	815
3331		212	+	834	=	1046
3332		849	+	252	=	1101
3333		912	+	141	=	1053
3334		209	+	450	=	659
3335		180	+	569	=	749
3336		535	+	562	=	1097
3337		365	+	111	=	476
3338		817	+	11	=	828
3339		763	+	321	=	1084
3340		606	+	345	=	951
3341		443	+	850	=	1293
3342		593	+	664	=	1257
3343		442	+	444	=	886
3344		833	+	736	=	1569
3345		502	+	25	=	527
3346		559	+	953	=	1512
3347		7	+	6	=	13
3348		543	+	129	=	672
3349		751	+	70	=	821
3350		395	+	228	=	623
3351		541	+	59	=	600
3352		220	+	715	=	935
3353		944	+	178	=	1122
3354		658	+	384	=	1042
3355		738	+	383	=	1121
3356		638	+	737	=	1375
3357		635	+	30	=	665
3358		782	+	315	=	1097
3359		80	+	21	=	101
3360		425	+	752	=	1177
3361		204	+	446	=	650
3362		412	+	4	=	416
3363		45	+	825	=	870
3364		244	+	549	=	793
3365		994	+	529	=	1523
3366		132	+	9	=	141
3367		316	+	429	=	745
3368		761	+	133	=	894
3369		930	+	746	=	1676
3370		532	+	283	=	815
3371		873	+	439	=	1312
3372		880	+	835	=	1715
3373		987	+	570	=	1557
3374		589	+	629	=	1218
3375		560	+	521	=	1081
3376		597	+	189	=	786
3377		163	+	444	=	607
3378		621	+	705	=	1326
3379		815	+	713	=	1528
3380		334	+	999	=	1333
3381		137	+	615	=	752
3382		164	+	58	=	222
3383		511	+	383	=	894
3384		846	+	943	=	1789
3385		737	+	831	=	1568
3386		655	+	251	=	906
3387		351	+	290	=	641
3388		52	+	295	=	347
3389		420	+	61	=	481
3390		360	+	767	=	1127
3391		273	+	34	=	307
3392		133	+	191	=	324
3393		301	+	378	=	679
3394		387	+	879	=	1266
3395		500	+	615	=	1115
3396		709	+	72	=	781
3397		61	+	952	=	1013
3398		970	+	823	=	1793
3399		64	+	537	=	601
3400		50	+	610	=	660
3401		791	+	978	=	1769
3402		443	+	161	=	604
3403		821	+	718	=	1539
3404		298	+	183	=	481
3405		933	+	695	=	1628
3406		709	+	72	=	781
3407		468	+	703	=	1171
3408		864	+	845	=	1709
3409		849	+	50	=	899
3410		646	+	142	=	788
3411		444	+	155	=	599
3412		459	+	768	=	1227
3413		885	+	301	=	1186
3414		768	+	847	=	1615
3415		606	+	187	=	793
3416		535	+	309	=	844
3417		364	+	633	=	997
3418		351	+	140	=	491
3419		625	+	724	=	1349
3420		346	+	200	=	546
3421		838	+	31	=	869
3422		221	+	217	=	438
3423		624	+	584	=	1208
3424		815	+	344	=	1159
3425		352	+	19	=	371
3426		70	+	367	=	437
3427		919	+	174	=	1093
3428		487	+	30	=	517
3429		345	+	716	=	1061
3430		44	+	699	=	743
3431		162	+	685	=	847
3432		115	+	321	=	436
3433		502	+	541	=	1043
3434		804	+	573	=	1377
3435		733	+	452	=	1185
3436		811	+	229	=	1040
3437		224	+	159	=	383
3438		983	+	665	=	1648
3439		845	+	950	=	1795
3440		826	+	591	=	1417
3441		897	+	213	=	1110
3442		371	+	986	=	1357
3443		662	+	190	=	852
3444		584	+	906	=	1490
3445		418	+	622	=	1040
3446		719	+	666	=	1385
3447		218	+	991	=	1209
3448		959	+	566	=	1525
3449		103	+	279	=	382
3450		498	+	867	=	1365
3451		345	+	103	=	448
3452		430	+	20	=	450
3453		25	+	534	=	559
3454		821	+	833	=	1654
3455		235	+	287	=	522
3456		393	+	827	=	1220
3457		348	+	624	=	972
3458		692	+	918	=	1610
3459		800	+	244	=	1044
3460		431	+	86	=	517
3461		695	+	508	=	1203
3462		753	+	597	=	1350
3463		192	+	121	=	313
3464		819	+	907	=	1726
3465		71	+	22	=	93
3466		561	+	991	=	1552
3467		52	+	251	=	303
3468		523	+	965	=	1488
3469		956	+	980	=	1936
3470		61	+	465	=	526
3471		523	+	300	=	823
3472		828	+	235	=	1063
3473		953	+	612	=	1565
3474		682	+	876	=	1558
3475		157	+	289	=	446
3476		292	+	199	=	491
3477		776	+	461	=	1237
3478		842	+	131	=	973
3479		660	+	700	=	1360
3480		638	+	80	=	718
3481		620	+	545	=	1165
3482		929	+	168	=	1097
3483		141	+	762	=	903
3484		834	+	633	=	1467
3485		270	+	82	=	352
3486		0	+	560	=	560
3487		364	+	141	=	505
3488		99	+	336	=	435
3489		665	+	833	=	1498
3490		29	+	827	=	856
3491		254	+	28	=	282
3492		319	+	984	=	1303
3493		110	+	168	=	278
3494		417	+	397	=	814
3495		125	+	406	=	531
3496		410	+	463	=	873
3497		48	+	690	=	738
3498		969	+	344	=	1313
3499		599	+	643	=	1242
3500		155	+	464	=	619
3501		537	+	558	=	1095
3502		206	+	911	=	1117
3503		414	+	947	=	1361
3504		293	+	129	=	422
3505		587	+	80	=	667
3506		85	+	764	=	849
3507		234	+	76	=	310
3508		15	+	118	=	133
3509		384	+	847	=	1231
3510		648	+	547	=	1195
3511		555	+	832	=	1387
3512		781	+	837	=	1618
3513		427	+	896	=	1323
3514		859	+	324	=	1183
3515		799	+	653	=	1452
3516		701	+	841	=	1542
3517		404	+	729	=	1133
3518		215	+	565	=	780
3519		650	+	532	=	1182
3520		83	+	719	=	802
3521		296	+	439	=	735
3522		778	+	238	=	1016
3523		241	+	803	=	1044
3524		6	+	620	=	626
3525		670	+	849	=	1519
3526		205	+	524	=	729
3527		78	+	787	=	865
3528		984	+	629	=	1613
3529		139	+	898	=	1037
3530		973	+	638	=	1611
3531		815	+	2	=	817
3532		41	+	485	=	526
3533		63	+	211	=	274
3534		66	+	827	=	893
3535		583	+	930	=	1513
3536		565	+	82	=	647
3537		982	+	831	=	1813
3538		235	+	290	=	525
3539		812	+	256	=	1068
3540		802	+	448	=	1250
3541		513	+	126	=	639
3542		497	+	64	=	561
3543		215	+	293	=	508
3544		907	+	437	=	1344
3545		418	+	338	=	756
3546		424	+	70	=	494
3547		183	+	345	=	528
3548		328	+	59	=	387
3549		483	+	221	=	704
3550		537	+	560	=	1097
3551		349	+	923	=	1272
3552		883	+	905	=	1788
3553		847	+	313	=	1160
3554		786	+	984	=	1770
3555		409	+	234	=	643
3556		500	+	970	=	1470
3557		839	+	157	=	996
3558		668	+	856	=	1524
3559		485	+	592	=	1077
3560		22	+	733	=	755
3561		735	+	383	=	1118
3562		827	+	499	=	1326
3563		61	+	90	=	151
3564		135	+	100	=	235
3565		479	+	573	=	1052
3566		906	+	885	=	1791
3567		245	+	209	=	454
3568		836	+	981	=	1817
3569		939	+	699	=	1638
3570		101	+	407	=	508
3571		195	+	219	=	414
3572		84	+	427	=	511
3573		355	+	560	=	915
3574		133	+	452	=	585
3575		800	+	603	=	1403
3576		688	+	398	=	1086
3577		875	+	569	=	1444
3578		304	+	990	=	1294
3579		843	+	557	=	1400
3580		857	+	319	=	1176
3581		875	+	149	=	1024
3582		190	+	946	=	1136
3583		798	+	467	=	1265
3584		346	+	509	=	855
3585		80	+	479	=	559
3586		981	+	207	=	1188
3587		719	+	138	=	857
3588		425	+	699	=	1124
3589		770	+	14	=	784
3590		510	+	355	=	865
3591		232	+	765	=	997
3592		618	+	720	=	1338
3593		237	+	264	=	501
3594		709	+	703	=	1412
3595		544	+	50	=	594
3596		541	+	301	=	842
3597		344	+	427	=	771
3598		141	+	910	=	1051
3599		696	+	824	=	1520
3600		683	+	98	=	781
3601		640	+	131	=	771
3602		570	+	754	=	1324
3603		535	+	903	=	1438
3604		445	+	609	=	1054
3605		414	+	32	=	446
3606		917	+	630	=	1547
3607		318	+	432	=	750
3608		413	+	90	=	503
3609		461	+	132	=	593
3610		635	+	517	=	1152
3611		645	+	321	=	966
3612		818	+	805	=	1623
3613		333	+	721	=	1054
3614		246	+	970	=	1216
3615		788	+	394	=	1182
3616		8	+	227	=	235
3617		835	+	577	=	1412
3618		675	+	205	=	880
3619		50	+	642	=	692
3620		254	+	318	=	572
3621		390	+	724	=	1114
3622		979	+	365	=	1344
3623		754	+	171	=	925
3624		22	+	844	=	866
3625		267	+	509	=	776
3626		410	+	872	=	1282
3627		552	+	874	=	1426
3628		977	+	697	=	1674
3629		370	+	941	=	1311
3630		267	+	341	=	608
3631		617	+	968	=	1585
3632		65	+	321	=	386
3633		655	+	727	=	1382
3634		914	+	283	=	1197
3635		137	+	932	=	1069
3636		549	+	162	=	711
3637		882	+	35	=	917
3638		592	+	135	=	727
3639		930	+	534	=	1464
3640		520	+	728	=	1248
3641		688	+	724	=	1412
3642		634	+	233	=	867
3643		603	+	125	=	728
3644		122	+	782	=	904
3645		760	+	65	=	825
3646		930	+	264	=	1194
3647		423	+	322	=	745
3648		486	+	908	=	1394
3649		638	+	631	=	1269
3650		565	+	426	=	991
3651		362	+	563	=	925
3652		378	+	419	=	797
3653		851	+	741	=	1592
3654		315	+	76	=	391
3655		168	+	521	=	689
3656		98	+	587	=	685
3657		531	+	239	=	770
3658		339	+	552	=	891
3659		830	+	474	=	1304
3660		781	+	742	=	1523
3661		118	+	900	=	1018
3662		700	+	234	=	934
3663		606	+	680	=	1286
3664		790	+	923	=	1713
3665		399	+	168	=	567
3666		485	+	634	=	1119
3667		455	+	544	=	999
3668		444	+	708	=	1152
3669		800	+	219	=	1019
3670		518	+	349	=	867
3671		947	+	580	=	1527
3672		299	+	448	=	747
3673		684	+	119	=	803
3674		132	+	340	=	472
3675		888	+	770	=	1658
3676		297	+	433	=	730
3677		140	+	622	=	762
3678		545	+	540	=	1085
3679		727	+	250	=	977
3680		82	+	247	=	329
3681		99	+	50	=	149
3682		730	+	396	=	1126
3683		304	+	331	=	635
3684		805	+	51	=	856
3685		82	+	139	=	221
3686		767	+	370	=	1137
3687		676	+	143	=	819
3688		556	+	973	=	1529
3689		116	+	957	=	1073
3690		286	+	366	=	652
3691		433	+	843	=	1276
3692		672	+	814	=	1486
3693		298	+	471	=	769
3694		937	+	261	=	1198
3695		809	+	920	=	1729
3696		586	+	327	=	913
3697		441	+	53	=	494
3698		323	+	528	=	851
3699		491	+	597	=	1088
3700		99	+	881	=	980
3701		823	+	310	=	1133
3702		671	+	578	=	1249
3703		993	+	90	=	1083
3704		653	+	234	=	887
3705		266	+	247	=	513
3706		113	+	422	=	535
3707		745	+	974	=	1719
3708		488	+	22	=	510
3709		377	+	519	=	896
3710		83	+	966	=	1049
3711		805	+	794	=	1599
3712		646	+	324	=	970
3713		441	+	89	=	530
3714		98	+	797	=	895
3715		66	+	460	=	526
3716		391	+	573	=	964
3717		465	+	605	=	1070
3718		806	+	438	=	1244
3719		396	+	518	=	914
3720		262	+	944	=	1206
3721		726	+	15	=	741
3722		893	+	323	=	1216
3723		569	+	124	=	693
3724		218	+	369	=	587
3725		472	+	670	=	1142
3726		161	+	15	=	176
3727		825	+	729	=	1554
3728		494	+	37	=	531
3729		195	+	830	=	1025
3730		549	+	300	=	849
3731		701	+	794	=	1495
3732		561	+	303	=	864
3733		992	+	959	=	1951
3734		948	+	206	=	1154
3735		613	+	969	=	1582
3736		639	+	455	=	1094
3737		561	+	651	=	1212
3738		410	+	677	=	1087
3739		576	+	539	=	1115
3740		222	+	502	=	724
3741		224	+	196	=	420
3742		849	+	23	=	872
3743		912	+	723	=	1635
3744		714	+	371	=	1085
3745		808	+	620	=	1428
3746		981	+	156	=	1137
3747		298	+	149	=	447
3748		145	+	497	=	642
3749		466	+	443	=	909
3750		448	+	392	=	840
3751		531	+	204	=	735
3752		695	+	294	=	989
3753		450	+	149	=	599
3754		951	+	581	=	1532
3755		598	+	845	=	1443
3756		675	+	245	=	920
3757		584	+	433	=	1017
3758		100	+	399	=	499
3759		567	+	297	=	864
3760		9	+	941	=	950
3761		231	+	99	=	330
3762		898	+	974	=	1872
3763		387	+	759	=	1146
3764		262	+	145	=	407
3765		729	+	659	=	1388
3766		324	+	767	=	1091
3767		966	+	968	=	1934
3768		927	+	94	=	1021
3769		849	+	796	=	1645
3770		542	+	923	=	1465
3771		396	+	417	=	813
3772		411	+	368	=	779
3773		48	+	781	=	829
3774		833	+	574	=	1407
3775		688	+	884	=	1572
3776		668	+	468	=	1136
3777		425	+	204	=	629
3778		844	+	921	=	1765
3779		960	+	911	=	1871
3780		922	+	951	=	1873
3781		700	+	342	=	1042
3782		630	+	425	=	1055
3783		430	+	451	=	881
3784		720	+	198	=	918
3785		527	+	480	=	1007
3786		405	+	382	=	787
3787		425	+	614	=	1039
3788		612	+	204	=	816
3789		192	+	9	=	201
3790		938	+	5	=	943
3791		866	+	666	=	1532
3792		171	+	80	=	251
3793		964	+	541	=	1505
3794		26	+	886	=	912
3795		935	+	733	=	1668
3796		251	+	724	=	975
3797		76	+	292	=	368
3798		159	+	951	=	1110
3799		596	+	527	=	1123
3800		807	+	287	=	1094
3801		27	+	920	=	947
3802		805	+	127	=	932
3803		837	+	710	=	1547
3804		583	+	803	=	1386
3805		137	+	483	=	620
3806		341	+	635	=	976
3807		621	+	277	=	898
3808		278	+	80	=	358
3809		434	+	711	=	1145
3810		229	+	853	=	1082
3811		930	+	408	=	1338
3812		730	+	448	=	1178
3813		632	+	141	=	773
3814		670	+	416	=	1086
3815		63	+	818	=	881
3816		815	+	984	=	1799
3817		509	+	974	=	1483
3818		741	+	885	=	1626
3819		408	+	960	=	1368
3820		748	+	85	=	833
3821		778	+	101	=	879
3822		171	+	505	=	676
3823		401	+	796	=	1197
3824		172	+	109	=	281
3825		731	+	987	=	1718
3826		670	+	525	=	1195
3827		184	+	802	=	986
3828		727	+	746	=	1473
3829		688	+	352	=	1040
3830		197	+	989	=	1186
3831		895	+	398	=	1293
3832		951	+	18	=	969
